objectid,title,title_alt,date,creator,description,site,period_of_record,frequency,source,type,format,rights,rightsstatement,original_url,filename,display_template,object_location,image_small,image_thumb
ng_pub_129,The demography of fine roots in a northern hardwood forest,,1992,"Hendrick, R.L. and K.S. Pregitzer",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Hendrick_1992_Ecology.pdf,hendrick_1992_ecology.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/hendrick_1992_ecology.pdf,,
ng_pub_130,Spatial variation in tree root distribution and growth associated with minirhizotrons,,1992,"Hendrick, R.L. and K.S. Pregitzer",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Hendrick_1992_Plant_and_Soil.pdf,hendrick_1992_plant_and_soil.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/hendrick_1992_plant_and_soil.pdf,,
ng_pub_131,Effects of genotype on the response of <i>Populus tremuloides</i> Michigan to ozone and nitrogen deposition,,1992,"Karnosky, D.F., Z.E. Gagnon, D.D. Reed, and J.A. Witter",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Karnosky_1992_Water_Air_Soil_Poll.pdf,karnosky_1992_water_air_soil_poll.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/karnosky_1992_water_air_soil_poll.pdf,,
ng_pub_132,Ion leaching in forest ecosystems along a Great Lakes air pollution gradient,,1992,"MacDonald, N.W., A.J. Burton, H.O. Liechty, J.A. Witter, K.S. Pregitzer, G.D. Mroz and D.D. Richter",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/MacDonald_1992_JEQ.pdf,macdonald_1992_jeq.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/macdonald_1992_jeq.pdf,,
ng_pub_133,"First year sugar maple (<i>Acer saccharum</i> Marsh.) seedling nutrition, vesicular-arbuscular mycorrhizal colonization, physiology, and growth along an acidic depostion gradient in Michigan.",,1992,"McLaughlin, J.",,,,,"Ph.D. Dissertation, Michigan Technological University, Houghton",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/McLaughlin_dissertation_1992-Summary.pdf,mclaughlin_dissertation_1992-summary.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/mclaughlin_dissertation_1992-summary.pdf,,
ng_pub_134,Foliar sulfur and nitrogen along an 800-km pollution gradient,,1992,"Pregitzer, K.S., A.J. Burton, G.D. Mroz, H.O. Liechty and N.W. MacDonald",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Pregitzer_1992_CJFR.pdf,pregitzer_1992_cjfr.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/pregitzer_1992_cjfr.pdf,,
ng_pub_135,Sulfate adsorption and microbial immobilization in northern hardwood forests along an atmospheric deposition gradient,,1992,"Randlett, D.L., D.R. Zak, and N.W. MacDonald",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Randlett_1992_CJFR.pdf,randlett_1992_cjfr.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/randlett_1992_cjfr.pdf,,
ng_pub_136,Leaf area and foliar biomass relationships in northern hardwood forests located along an 800 km acid deposition gradient,,1991,"Burton, A.J., K.S. Pregitzer and D.D. Reed",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Burton_1991_For_Sci.pdf,burton_1991_for_sci.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/burton_1991_for_sci.pdf,,
ng_pub_137,Use of multivariate methods in forest research site selection,,1991,"Burton, A.J., C.W. Ramm, K.S. Pregitzer, and D.D. Reed",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Burton_1991_CJFR.pdf,burton_1991_cjfr.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/burton_1991_cjfr.pdf,,
ng_pub_138,Formation of sugar maple (<i>Acer saccharum </i>) tree rings as affected by climate,,1991,"Lane, C.J.",,,,,"M.S. Thesis, Michigan Technological University, Houghton",Text,,,,,,record,,,
ng_pub_139,Effects of collection interval on quality of throughfall samples in two northern hardwood stands,,1991,"Liechty, H.O. and G.D. Mroz",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Liechty_1991_JEQ.pdf,liechty_1991_jeq.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/liechty_1991_jeq.pdf,,
ng_pub_140,Variation in forest soil properties along a Great Lakes air pollution gradient,,1991,"MacDonald, N.W., A.J. Burton, M.F. Jurgensen, J.W. McLaughlin and G.D. Mroz",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/MacDonald_1991_SSSAJ.pdf,macdonald_1991_sssaj.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/macdonald_1991_sssaj.pdf,,
ng_pub_141,Criteria for atmospheric deposition gradient studies in the USSR,,1991,"Medlarz, S., D. Reed, and R. Noble",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,,,,,,record,,,
ng_pub_142,Sugar maple seed production and nitrogen in litterfall,,1991,"Pregitzer, K.S. and A.J. Burton",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Pregitzer_1991_CJFR.pdf,pregitzer_1991_cjfr.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/pregitzer_1991_cjfr.pdf,,
ng_pub_143,Sulfate adsorption and immobilization in Michigan northern hardwood forests.,,1991,"Randlett, D.",,,,,"M.S. Thesis, University of Michigan, Ann Arbor",Text,,,,,,record,,,
ng_pub_144,Effects of air pollution on forest ecosystems.,,1991,"Reed, D.",,,,,"Society of American Foresters, Washington D.C.",Text,,,,,,record,,,
ng_pub_145,Investigations of the effects of forest stress factors along exposure gradients in the United States,,1991,"Reed, D., S. Medlarz, and R. Noble",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,,,,,,record,,,
ng_pub_146,Effects of multiple interactions on forests: approaches and examples,,1991,"Witter, J.A.",,,,,"Soc. Am. Foresters Proc., Washington D.C.",Text,,,,,,record,,,
ng_pub_147,"Seasonal nitrogen and carbon concentrations in white, brown and woody fine roots of sugar maple (<i>Acer saccharum</i> Marsh)",,1990,"Goldfarb, D., R. Hendrick, and K. Pregitzer",,,,,"Plant and Soil, 126 (1990)",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Goldfarb_1990_Plant_and_Soil.pdf,goldfarb_1990_plant_and_soil.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/goldfarb_1990_plant_and_soil.pdf,,
ng_pub_148,Genetic implications of air pollution for forestry at present and future,,1990,"Karnosky, D.F. and F. Scholz",,,,,"Proceedings of the 19th IUFRO World Congress, Division 1, 5-11 Aug. 1990",Text,,,,,,record,,,
ng_pub_149,Comparison of cation leaching in five northern hardwood stands along an air pollution gradient using a throughfall modeling approach,,1990,"Liechty, H.O., D. Reed, G. Mroz, and M. Jurgensen",,,,,"Proceedings of the 19th IUFRO World Congress, Division 1, 5-11 Aug. 1990",Text,,,,,,record,,,
ng_pub_150,Pollution induced changes in forest-insect relationships,,1990,"Mattson, W.J. and J.A. Witter",,,,,"Proceedings of the 19th IUFRO World Congress, Division 1, 5-11 Aug. 1990",Text,,,,,,record,,,
ng_pub_151,Effects of acid deposition on nitrogen mineralization in forest soils of the Great Lakes region,,1990,"Ouyang, H.",,,,,"M.S. Thesis, Michigan Technological University, Houghton",Text,,,,,,record,,,
ng_pub_152,A simple procedure for mapping tree locations in forest stands,,1989,"Reed, D.D., H.O. Liechty, and A.J. Burton",,,,,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Text,application/pdf,,,https://webpages.uidaho.edu/nitrogen-gradient/Publications/Reed_1989_Forest_Science.pdf,reed_1989_forest_science.pdf,pdf,https://objects.lib.uidaho.edu/nitrogen-gradient/reed_1989_forest_science.pdf,,
ng_pub_153,Michigan gradient case history study for the NAPAP Assessment Plan,,1989,"Witter, J.A.",,,,,Report to EPA and USDA Forest Service,Text,,,,,,record,,,
